2023-02-17 16:51:41,724 INFO    StreamThr :1091 [internal.py:wandb_internal():87] W&B internal server running at pid: 1091, started at: 2023-02-17 16:51:41.723968
2023-02-17 16:51:41,725 DEBUG   HandlerThread:1091 [handler.py:handle_request():144] handle_request: status
2023-02-17 16:51:41,726 INFO    WriterThread:1091 [datastore.py:open_for_write():85] open: /home/jeffreymo572/Kaggles/wandb/run-20230217_165141-1nfrimsc/run-1nfrimsc.wandb
2023-02-17 16:51:41,727 DEBUG   SenderThread:1091 [sender.py:send():336] send: header
2023-02-17 16:51:41,731 DEBUG   SenderThread:1091 [sender.py:send():336] send: run
2023-02-17 16:51:42,624 INFO    SenderThread:1091 [dir_watcher.py:__init__():216] watching files in: /home/jeffreymo572/Kaggles/wandb/run-20230217_165141-1nfrimsc/files
2023-02-17 16:51:42,624 INFO    SenderThread:1091 [sender.py:_start_run_threads():1067] run started: 1nfrimsc with start time 1676674301.723281
2023-02-17 16:51:42,624 DEBUG   SenderThread:1091 [sender.py:send_request():363] send_request: summary_record
2023-02-17 16:51:42,624 INFO    SenderThread:1091 [sender.py:_save_file():1321] saving file wandb-summary.json with policy end
2023-02-17 16:51:42,625 DEBUG   HandlerThread:1091 [handler.py:handle_request():144] handle_request: check_version
2023-02-17 16:51:42,625 DEBUG   SenderThread:1091 [sender.py:send_request():363] send_request: check_version
2023-02-17 16:51:43,054 DEBUG   HandlerThread:1091 [handler.py:handle_request():144] handle_request: run_start
2023-02-17 16:51:43,066 DEBUG   HandlerThread:1091 [system_info.py:__init__():31] System info init
2023-02-17 16:51:43,066 DEBUG   HandlerThread:1091 [system_info.py:__init__():46] System info init done
2023-02-17 16:51:43,066 INFO    HandlerThread:1091 [system_monitor.py:start():151] Starting system monitor
2023-02-17 16:51:43,066 INFO    SystemMonitor:1091 [system_monitor.py:_start():116] Starting system asset monitoring threads
2023-02-17 16:51:43,066 INFO    HandlerThread:1091 [system_monitor.py:probe():172] Collecting system info
2023-02-17 16:51:43,066 INFO    SystemMonitor:1091 [interfaces.py:start():168] Started cpu
2023-02-17 16:51:43,068 INFO    SystemMonitor:1091 [interfaces.py:start():168] Started disk
2023-02-17 16:51:43,068 INFO    SystemMonitor:1091 [interfaces.py:start():168] Started gpu
2023-02-17 16:51:43,069 INFO    SystemMonitor:1091 [interfaces.py:start():168] Started memory
2023-02-17 16:51:43,070 INFO    SystemMonitor:1091 [interfaces.py:start():168] Started network
2023-02-17 16:51:43,085 DEBUG   HandlerThread:1091 [system_info.py:probe():195] Probing system
2023-02-17 16:51:43,129 DEBUG   HandlerThread:1091 [system_info.py:_probe_git():180] Probing git
2023-02-17 16:51:43,135 DEBUG   HandlerThread:1091 [system_info.py:_probe_git():188] Probing git done
2023-02-17 16:51:43,135 DEBUG   HandlerThread:1091 [system_info.py:probe():241] Probing system done
